Autor: Daira Judith Servin Juárez 
Fecha: 06/10/2023 10:40:38 a. m.
# | Caracter
include | Identificador
< | OperadorRelacional
stdio | Identificador
. | Caracter
h | Identificador
> | OperadorRelacional
# | Caracter
include | Identificador
< | OperadorRelacional
math | Identificador
. | Caracter
h | Identificador
> | OperadorRelacional
# | Caracter
include | Identificador
< | OperadorRelacional
iostream | Identificador
> | OperadorRelacional
char | TipoDato
altura | Identificador
, | Caracter
i | Identificador
, | Caracter
j | Identificador
, | Caracter
k | Identificador
; | FinSentencia
void | Identificador
main | Identificador
( | Caracter
) | Caracter
{ | Inicio
k | Identificador
k = = | Asignacion
( | Caracter
int | TipoDato
) | Caracter
( | Caracter
( | Caracter
char | TipoDato
) | Caracter
( | Caracter
1.5 | Numero
 1.5) | Caracter
) | Caracter
; | FinSentencia
 = 2
Error: de semantica,no se puede asignar in  <Int> a un < Char> en la linea 11 columna 27
